tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m164,w43,ph_1,39,Hw,5,65.1,,LS,66.3,34,Y,Y,2,2,1,Y,4,Y,D,,,-,,1,,,
m165,w30,ph_1,39,Hw,6.2,99.4,,LS,21,,Y,N,0,0,1,N,-,N,I,,,-,,1,,,
m166,w121,ph_1,39,Hw,6.2,106.2,,LS,24.3,,Y,Y,1,1,0,Y,4,N,I,,,-,,1,,,
m167,w76,ph_1,39,Hw,6.9,117.6,,LS,19.2,,Y,Y,2,1,0,Y,2,N,I,,,-,,1,,,
m168,w29,ph_1,39,Hw,7.7,137.9,,LS,84.2,32.5,Y,Y,2,2,2,Y,7,Y,D,,,2,4,2,,,
m169,w23,ph_1,39,Hw,8.9,142.5,,DS,14.7,,Y,-,-,-,-,-,-,-,S,,,-,,2,,,forked with m170
m170,w120,ph_1,39,Hw,8.9,142.5,,LS,16.1,,Y,Y,1,1,1,Y,8,N,S,,,-,,1,,,forked with m169
m171,w102,ph_1,39,Hw,4.9,161.4,,LS,19.1,,Y,Y,2,1,0,Y,1,N,S,,,1,,1,,,DBH taken higher because of stem infection
m172,w9,ph_1,39,Hw,5.4,147.5,,DS,10.9,,Y,-,2,1,0,Y,4,Y,-,,,-,,3,,,
m173,w4,ph_1,39,Hw,2.6,131,,LS,11.4,,Y,Y,0,0,0,N,-,-,S,,,,,1,,,
m174,w16,ph_1,39,Hw,4,119.8,,LS,20.3,,Y,Y,2,1,0,Y,4,N,I,,,,,1,,,
m175,w53,ph_1,39,Hw,5.8,126.7,,LL,15.9,,Y,Y,0,0,0,Y,8,N,S,,,,,1,,,
m176,w2,ph_1,39,Bl,2.8,228.7,,LS,81.5,,N,-,-,-,-,-,-,-,D,,,,,1,,,
m177,w54,ph_1,39,Hw,4.7,228.7,,LS,11.8,,N,-,-,-,-,-,-,-,S,,,,,1,,,
m178,y7,cr_2,29,Fd,5.8,198.9,,LS,35.6,,-,-,-,-,-,-,-,-,C,,,,,1,,,
m179,y122,cr_2,29,Fd,2,118.1,,LS,87.4,,-,-,-,-,-,-,-,-,D,,,,,1,,,
m180,y129,cr_2,29,Hw,4.3,135.9,,LS,15.2,,Y,N,0,1,0,N,-,N,S,,,,,1,,,
m181,y36,cr_2,29,Hw,3.7,74.2,,LS,47.7,38,Y,Y,2,1,1,Y,4,N,C,,,,,1,,,
m182,y4000,cr_2,29,Hw,1.1,46.2,,LS,42.9,32.7,Y,Y,2,2,1,Y,4,N,C,,,,,1,,,
m183,y65,cr_2,29,Hw,1.2,350,,LS,24.3,,Y,N,2,2,1,Y,4,Y,I,,,,,1,,,
m184,y58,cr_2,29,Hw,2.9,350,,LS,21.2,,Y,Y,1,0,0,N,-,N,I,,,1,,1,,,
m185,y127,cr_2,29,Hw,2.9,350,,LS,49.5,36.3,Y,Y,2,0,0,Y,1,N,C,,,,,1,,,
m186,y105,cr_2,29,Hw,7.9,118.1,,SN,13.8,,-,-,-,-,-,-,-,-,-,,,,,5,,,
m187,w111,cr_2,30,Hw,2.9,56.9,,SN,15.5,,-,-,-,-,-,-,-,-,-,,,,,6,,,
m188,w8,cr_2,30,Hw,2.3,90,,LS,46.8,32.2,Y,Y,2,2,2,Y,7,N,C,,,,,1,,,
m189,w66,cr_2,30,Hw,3.7,83.6,,LS,44.8,40.2,Y,Y,2,1,1,Y,4,N,C,,,,,1,,,
m190,w22,cr_2,30,Mb,2.6,187.1,,LS,38.3,,N,-,-,-,-,-,-,-,I,,,4,,1,,,
m191,w50,cr_2,30,Hw,5.3,106.1,,LS,66.5,,Y,Y,2,2,1,Y,8,N,D,,,,,1,,,
m192,w112,cr_2,30,Fd,5.7,162.8,,LS,23.6,,Y,-,-,-,-,-,-,-,C,,,,,1,,,possible hdm
m193,w65,cr_2,30,Hw,6.5,155.3,,LS,49,,Y,Y,1,1,1,N,-,N,D,,,,,1,,,
m194,w124,cr_2,30,Hw,6.3,164.5,,LS,21.4,,Y,N,2,2,1,Y,1,N,I,,,,,1,,,
m195,w120,cr_2,30,Hw,5.9,205.3,,LS,47.2,,Y,Y,2,2,2,Y,4,N,C,,,,,1,,,Forked with m196
m196,w3,cr_2,30,Hw,5.9,105.3,,SN,19.4,,Y,-,-,-,-,-,-,-,-,,,,,4,,,Forked with m195
m197,w1,cr_2,30,Fd,6.2,256.5,,LS,67.4,,-,-,-,-,-,-,-,-,D,,,,,1,,,
m198,w52,cr_2,30,Fd,4.5,248.9,,LS,50.3,,-,-,-,-,-,-,-,-,C,,,,,1,,,
